MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	10.008789	Sec	7/8/2019 3:33:43 PM
Station 1 Displacement	Station 1 Force
in	lbf
6.1839819e-06	-1.803012
-0.00026784837	-1.18164
-3.7588179e-05	-1.3945165
-9.3244016e-05	-1.5938648
9.5367432e-05	-2.103368
0.00021811575	-2.4243402
0.00023111701	-1.5817041
0.00026214868	-1.5778759
0.00022325665	-1.2050197
0.0001706928	-1.4401617
0.00024013221	-2.0504451
0.00032037497	-2.24368
0.00031512231	-1.9483874
0.00023346394	-1.7170707
0.00058908015	-0.98025078
0.00055063516	-1.4445856
0.00050678849	-1.7339195
0.00031605363	-2.1404238
0.00027824193	-2.57477
0.00028606504	-1.5777903
0.00034417957	-1.4958559
0.00029094517	-1.2615701
0.00029135495	-1.4604657
0.00043451786	-2.0960119
0.00024437904	-2.2266455
0.00038113445	-1.9533896
0.0005787611	-1.5377073
0.00059168786	-0.92633539
0.00056203455	-1.5700899
0.00067833811	-1.9626296
0.00061422586	-2.2264552
0.00062789768	-2.1091084
0.00069946051	-1.4695396
0.00081691891	-1.3055717
0.00072039664	-1.2245605
0.00066366047	-1.6147766
0.0007135421	-2.2426748
0.00078603625	-2.2889132
0.00081341714	-1.7133436
0.00093955547	-1.3018522
0.00085860491	-0.96102822
0.00077225268	-1.6191701
0.00093732029	-1.9767665
0.00091761351	-2.1892686
0.0010406971	-1.9976276
0.0010525808	-1.3714237
0.0010727346	-1.1854199
0.00093705952	-1.2127339
0.0010928884	-1.6933807
0.0010697916	-2.2180374
0.001405254	-2.1158323
0.001289621	-1.7072563
0.0013156608	-1.1469541
0.0014224276	-0.99375373
0.0015598908	-1.5905924
0.0016066059	-2.0918715
0.0014960021	-2.1313248
0.001283139	-2.0055969
0.001405701	-1.3354239
0.0014057755	-1.0964053
0.001447238	-1.2978853
0.0013778731	-1.6379298
0.0015731528	-2.2194915
0.0014930964	-2.1596289
0.0014195964	-1.4899899
0.0014480576	-1.1578516
0.0014401227	-1.0712625
0.0014745072	-1.7470843
0.0014237314	-2.1568656
0.0015472248	-2.1045444
0.001709424	-1.7030997
0.0017377734	-1.2357614
0.001784116	-0.96473324
0.0015745312	-1.445738
0.0016092882	-1.7412816
0.0017060712	-2.3057766
0.0019525364	-2.003875
0.0018446892	-1.406768
0.0019322708	-1.038597
0.0019855797	-1.1557137
0.0020455196	-1.8275349
0.0021383539	-2.1342723
0.002020821	-1.9898981
0.0019176304	-1.7248821
0.001953356	-1.1788803
0.0018248335	-1.0737985
0.0021341071	-1.1574441
0.0021434575	-2.0141568
0.0022161752	-2.1433899
0.0023471937	-1.8242042
0.0023040548	-1.2833316
0.0020457432	-1.0990095
0.0021263584	-1.3049884
0.002200827	-1.8112233
0.0022921339	-2.1531875
0.0021995977	-1.9951559
0.0021843612	-1.5821407
0.0022788718	-1.1317937
0.0023975596	-1.00473
0.002265051	-1.6171467
0.002104044	-2.0111382
0.0022723153	-2.0838342
0.0026323646	-1.6704983
0.002355203	-1.1626585
0.0022221729	-1.0407443
0.0025418401	-1.2435583
0.0024123117	-1.8871237
0.0025975332	-2.1700397
0.0025328994	-1.8589047
0.0026804954	-1.5132769
0.0026480108	-0.9769178
0.0024779513	-1.1879044
0.0023538992	-1.7608743
0.0026603416	-1.9259384
0.0027900562	-2.1120393
0.00276573	-1.5288755
0.002585873	-1.1229481
0.0025948137	-1.126338
0.0025972724	-1.337544
0.002717711	-1.9559293
0.0025891513	-2.0476186
0.0026167184	-1.7576495
0.0029546022	-1.2648035
0.0030805171	-0.8704024
0.0030053779	-1.1664855
0.0029196963	-1.8918055
0.0028466433	-2.2712409
0.0026795641	-1.9975291
0.0027669221	-1.4222244
0.003009215	-0.96149039
0.0031443685	-0.94974941
0.0030748919	-1.5060807
0.0029521808	-1.9170007
0.0031543151	-2.0386646
0.0030058622	-1.8010544
0.0029126555	-1.3002794
0.0029927492	-0.97243059
0.0028900057	-1.2706499
0.0031330809	-1.8553115
0.003189519	-2.0088022
0.0033377111	-1.9480422
0.0031566247	-1.3158121
0.0034150109	-0.68835562
0.0036233664	-1.1240085
0.0034650788	-1.5413266
0.0032076985	-1.9036233
0.0035093725	-2.0261056
0.0035173073	-1.6772828
0.0036389753	-1.2738037
0.0033949316	-1.1369685
0.0034671277	-1.3306749
0.0034482032	-1.9591789
0.0035906583	-2.1043186
0.0036564097	-1.8566597
0.0036760047	-1.2549992
0.0036522374	-1.0525446
0.0034824759	-1.2835935
0.0035361573	-1.6579143
0.0036300719	-1.9195001
0.003580302	-2.0785542
0.0036112592	-1.4935929
0.0035874173	-1.1287349
0.003654547	-0.99285209
0.00369519	-1.2905453
0.0040112808	-2.0457273
0.0040610507	-1.9891415
0.0040176511	-1.6724108
0.0040839612	-1.0967481
0.0041025504	-0.87830585
0.0038434193	-1.2611935
0.0039574131	-1.681039
0.00402987	-2.0017538
0.0040258095	-2.0048749
0.0040218607	-1.4547229
0.0039361045	-0.85553563
0.0041223317	-0.92768401
0.0041498989	-1.4122384
0.0041085109	-2.1139731
0.0041969866	-1.9067392
0.0043050945	-1.4522102
0.0046794489	-0.89435834
0.0046752021	-0.87927914
0.0043990463	-1.5098248
0.0044476613	-1.8419574
0.004469417	-2.0846334
0.0044219568	-1.903267
