MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	10.008789	Sec	7/8/2019 3:53:18 PM
Station 1 Displacement	Station 1 Force
in	lbf
1.8030405e-05	-1.17158
8.4154308e-05	-1.0287436
1.9557774e-05	-1.5602417
8.3371997e-05	-1.8947268
-0.00010292977	-2.4464953
-0.00024896115	-1.8939388
-0.00025954098	-1.2981728
-0.00010926276	-0.91638005
6.4447522e-06	-0.99289113
0.00026483089	-1.6899179
-7.8603625e-06	-2.2723496
5.2526593e-05	-1.8935297
7.3798001e-05	-1.6112806
0.00028200448	-0.6428501
0.0003470853	-0.5433144
0.00048276037	-1.1399429
0.00057902187	-1.8617115
0.0005287677	-2.2291293
0.00060200691	-1.6424572
0.00050917268	-1.2020394
0.00063575804	-0.71574467
0.00053964555	-1.4391029
0.00040836632	-1.8691504
0.00062957406	-1.9477832
0.00068351626	-1.7925125
0.00054027885	-1.5858136
0.00051051378	-0.82530433
0.00057842582	-1.0419096
0.00052113086	-1.7029705
0.00046443194	-2.0763209
0.00077951699	-1.817675
0.00078439713	-1.5600421
0.00064652413	-1.2063042
0.00051654875	-1.3023853
0.00064380467	-1.269732
0.0004728511	-2.140996
0.00039536506	-2.226949
0.00053945929	-1.7529789
0.00071853399	-0.98741323
0.00079959631	-0.62790233
0.00066045672	-1.0268937
0.00082235783	-1.4719198
0.00085942447	-2.0700104
0.00093914568	-2.096102
0.00086773187	-1.5171211
0.00083465129	-1.0487623
0.00092510134	-0.78641695
0.00098135322	-1.3200601
0.0010969862	-1.8764689
0.0014748797	-1.4229975
0.0015055388	-1.6252185
0.0011621416	-1.3696012
0.0012698025	-0.91938829
0.00098932534	-1.4242855
0.0010684133	-1.8110428
0.0011209399	-2.0412455
0.0011572614	-2.0635629
0.0011250377	-1.1457549
0.001258105	-0.43395615
0.0013544038	-0.83392721
0.0014820322	-1.0218297
0.0016330183	-1.8464832
0.0016689301	-1.8408719
0.0014840439	-1.4537613
0.001510717	-0.90595043
0.0013554469	-1.0179589
0.0013713539	-1.2364436
0.00156831	-1.3093429
0.0017441809	-1.9125886
0.001597777	-1.8739986
0.0016557425	-0.992993
0.0018173456	-0.10189833
0.0020131841	-0.55626851
