MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	10.008789	Sec	7/8/2019 1:36:07 PM
Station 1 Displacement	Station 1 Force
in	lbf
-2.5108457e-05	-2.3886356
7.2196126e-05	-2.1451368
-2.0042062e-05	-1.7240644
0.00011108816	-1.2910203
-3.233552e-05	-1.706201
-5.5208802e-05	-2.0999992
-0.00014796853	-2.2356935
-0.00011712313	-2.3145304
-0.00018201768	-1.9261078
-7.9199672e-05	-1.1925731
0.00028833747	-1.2285972
0.00021480024	-1.6587303
0.0001283735	-2.4792204
0.00012762845	-2.28567
4.4330955e-05	-1.9079872
0.00020287931	-1.6157824
0.00012949109	-1.1638511
0.00017538667	-1.7906818
0.00027514994	-2.0611932
0.00034183264	-2.3455584
0.00051148236	-2.2841611
0.00044949353	-1.6527605
0.00038571656	-1.1290271
0.00046081841	-1.6260571
0.00029034913	-2.0948448
0.00022538006	-2.4456093
0.00040017068	-2.2835877
0.00025838614	-1.6492273
0.000449121	-1.468066
0.00042453408	-1.2764596
0.00065147877	-1.4106412
0.00090353191	-2.3515022
0.00082612038	-2.3406763
0.00077657402	-2.1701591
0.00078991055	-1.5321578
0.00076748431	-1.0322593
0.0010944158	-1.5220535
0.00079862773	-2.0032754
0.00094935298	-2.3885007
0.0010060519	-2.1852007
0.00083632767	-1.7083122
0.0008507818	-1.2979488
0.00082992017	-1.2837391
0.00066995621	-1.7506554
0.00086635351	-2.4326022
0.00088609755	-2.3370893
0.001020655	-1.8813938
0.0013776869	-1.3335887
0.0013523549	-0.82453418
0.0014095008	-1.8488715
0.0011153519	-2.0367005
0.0011856854	-2.338994
0.00103347	-2.1326919
0.0011640042	-1.6762944
0.0012453645	-1.3120135
0.0015799701	-1.2046198
0.0014713407	-1.7359066
0.0014274567	-2.4998701
0.001270622	-2.2254157
0.001084432	-1.807225
0.0011818856	-1.4056423
0.0013972074	-1.0248442
0.0012873113	-1.8719049
0.0013141334	-2.2075901
0.0014971197	-2.2130077
0.0018348545	-1.8278749
0.0018815696	-1.4462655
0.0015326589	-1.3358384
0.0015231222	-1.4575658
0.0015352666	-1.9735518
0.0015348941	-2.5240269
0.0016581267	-2.1080265
0.0015412271	-1.6318425
0.0016823411	-1.1245172
0.001623258	-1.0852877
0.0016114861	-1.8759072
0.0018140674	-2.1436753
0.0016710907	-2.3386767
0.0018013269	-1.8917594
0.0018397719	-1.3730047
0.0018811226	-1.1453865
0.0018595159	-1.4602177
0.0019408762	-1.9898236
0.0020293891	-2.5562482
0.0019423664	-2.0531943
0.0020436198	-1.5071396
0.0019583851	-1.2816955
0.0019603223	-1.2206531
0.0018959492	-2.08863
0.0019747764	-2.2243609
0.0021520257	-2.1326194
0.0020938367	-1.8943969
0.0019799173	-1.2820535
0.0021038949	-1.181814
0.0022616237	-1.5075779
0.0023767352	-1.9907159
0.002297014	-2.5404022
0.0022815913	-1.9138678
0.0024237484	-1.3182324
0.0024588406	-1.1037959
0.002380386	-1.2733474
0.0025574863	-1.9276865
0.0025096536	-2.313431
0.0023434311	-2.2248952
0.0021521747	-1.8447794
0.0021928549	-1.2379582
0.0021598488	-1.1436548
0.0022489578	-1.672947
0.0025710464	-1.9253168
0.0026407093	-2.3603759
0.0023145974	-1.8908647
0.0023476779	-1.3450451
0.0023107231	-1.2832705
0.0026559085	-1.0907731
0.0027559698	-2.1075706
0.0026762486	-2.3079069
0.0026764721	-2.1656499
0.0028304011	-1.4734408
0.0028880686	-0.97312319
0.0028326362	-1.1873088
0.0028710812	-1.9268471
