MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	10.008789	Sec	7/8/2019 1:22:49 PM
Station 1 Displacement	Station 1 Force
in	lbf
0.00048682094	-0.28266165
0.00047467649	-0.66062492
0.00050470233	-1.3529148
0.0004774332	-1.4265168
0.0004594028	-0.8769834
0.00049263239	-0.43310049
0.00054903328	-0.089284733
0.00055715442	-0.55731684
0.00066705048	-1.1780957
0.00060290098	-1.3184355
0.00066764653	-1.13776
0.00061333179	-0.54537839
0.00069327652	-0.090465762
0.00067591667	-0.30339926
0.00072211027	-0.8213619
0.00082984567	-1.2935412
0.00085748732	-1.2571417
0.00082783401	-0.59029377
0.00083439052	-0.146596
0.0010356307	-0.10947115
0.00085324049	-0.58493227
0.00090047717	-1.2272078
0.00094778836	-1.2606103
0.00093959272	-0.92919505
0.00099942088	-0.3626669
0.00097803771	-0.0071141399
0.0010182709	-0.38308501
0.0010565668	-0.90939111
0.0010668486	-1.3702765
0.0010967255	-1.2051704
0.0011276454	-0.48252407
0.0011063367	0.056037679
0.001174435	-0.19439088
0.0012143701	-0.73776639
0.0013191253	-1.3368874
0.001340583	-1.1367288
0.0012961775	-0.78286165
0.0012688339	-0.23767993
0.0013078004	-0.12849981
0.0012640655	-0.43632987
0.0013384223	-1.0831519
0.0013557822	-1.4262338
0.0013700128	-1.1954992
0.0013738126	-0.29049113
0.0014894456	-0.0042491592
0.0015117228	-0.30220661
0.0015249848	-0.93463814
0.0015164912	-1.3943501
0.0015455484	-1.0652363
0.0016130507	-0.64432037
0.0015943497	-0.09119685
0.0015307218	-0.027242931
0.0016201288	-0.50953239
0.0017450005	-1.1267664
0.0017277151	-1.3582798
0.0016348809	-0.95527148
0.0017164648	-0.21156739
0.0017688423	-0.031353556
0.0017859787	-0.35862613
0.0018040836	-1.0598253
0.0018406659	-1.287217
0.001886189	-0.98265654
0.0019148737	-0.48973423
0.0019271672	-0.15332596
0.0019546598	-0.13683572
0.0019437075	-0.65282744
0.0020254403	-1.2586074
0.002066195	-1.3646199
0.0020761043	-0.72314113
0.0020223111	-0.015581608
0.0021197647	-0.010136282
0.0021763891	-0.53236264
0.0021643192	-1.0258024
0.0021710992	-1.3345143
0.0021509826	-0.91581255
0.0022945553	-0.35592937
0.0022424757	-0.09567593
0.0022659451	-0.11659227
0.0023792684	-0.90630549
0.002412349	-1.2415997
0.002316907	-1.1848059
0.0023344904	-0.63008571
0.0024098903	0.086455256
0.0024789572	-0.10657299
0.0024783611	-0.66336823
0.0025830418	-0.9627012
0.0024978817	-1.2491213
0.0025550276	-0.74952316
0.0025002658	-0.25210494
0.0026161969	-0.042627797
0.0026256591	-0.28396899
0.0025622547	-0.89120525
0.0027266145	-1.3050768
0.0026999414	-1.107963
0.0027255714	-0.49209923
0.0027799606	0.090613611
0.002675727	-0.12842181
0.0027354807	-0.69429225
0.0027343631	-1.1709641
0.0027452409	-1.0887108
0.0028881431	-0.68332708
0.002816692	-0.10450662
0.002893135	-0.011005905
0.0029548258	-0.27261966
0.0029744208	-0.92546332
0.0029845536	-1.3447099
0.0029614568	-0.8607772
0.0030261278	-0.20920125
0.0030478835	0.22002263
0.0030726939	-0.17738202
0.0030776113	-0.93094599
0.0031191111	-1.1199963
0.0031786412	-1.1618651
0.0032153726	-0.6199075
0.0031788647	0.06201328
0.0031590462	-0.014200341
0.0031573325	-0.45268974
0.0033280253	-1.0582222
0.0033133477	-1.2714043
0.0032398105	-0.81533915
0.0033645332	-0.090336546
0.0033594668	0.061113972
0.0034101307	-0.31605595
0.0033602864	-0.96395552
0.00339441	-1.1845387
0.0034706295	-1.0073516
0.0034279376	-0.52968913
0.003522262	0.035799459
0.0036241859	-0.1472421
0.0035621971	-0.48202813
0.0035493076	-1.127043
0.0036083162	-1.2262032
0.0035451353	-0.76637661
0.0035853684	-0.058551665
0.0036479533	0.071324758
0.0037364662	-0.35980019
0.0037485361	-1.0561029
0.0037251413	-1.2269198
0.0036858022	-0.91583294
0.0037728995	-0.37709078
0.0037424266	0.13250741
0.0038788468	-0.20700216
0.0038767606	-0.64887047
0.0038723648	-1.3312807
0.0039424747	-1.2136675
0.0039562583	-0.51365238
0.0039228797	-0.073102422
0.0040008873	0.037560239
0.0040953606	-0.51032579
0.0039687753	-1.1373085
0.0040505081	-1.0809023
0.0040327013	-0.86682558
0.0040886551	-0.21297951
0.0040725619	0.072151884
0.004189387	-0.30704656
0.0041625649	-0.77618867
0.004273057	-1.3534095
0.0042346865	-1.2254884
0.0042677671	-0.30520314
0.0043032318	0.084124044
0.0043002516	-0.10316027
0.0042398274	-0.65655911
0.0043204427	-1.2148188
0.0043837726	-1.1421868
0.0044534355	-0.79974061
0.0043924898	-0.075300924
0.004389286	0.12871169
0.0044597685	-0.35333389
0.0044685602	-0.96465868
0.0045504421	-1.3636477
0.004542321	-0.96056145
0.0045600533	-0.13499521
0.0046052784	0.051069655
0.0046285242	-0.19622152
0.0046271086	-0.77085048
0.0046757609	-1.2772874
0.0047712028	-1.1284841
0.0047519058	-0.54578644
0.004786849	-0.13670011
0.0046785921	0.069062226
0.0047691911	-0.46676257
0.0048400462	-1.0540936
0.004825592	-1.2067873
0.0048505515	-0.91807282
0.0048997253	-0.20485313
0.0049522519	0.050104573
0.0049334764	-0.291419
0.0048868358	-0.87242573
0.0048687309	-1.2578605
0.0049782544	-0.95670873
0.0050535053	-0.50246131
0.0050444901	0.095979773
0.0050207973	0.10664342
0.0051074475	-0.68579745
0.0051432103	-1.1466262
0.0051342696	-1.1840044
0.0052390248	-0.77032423
0.0052244216	-0.051097594
0.005164817	0.062926553
0.0052548945	-0.4072825
0.0052587688	-0.9097532
0.0052342564	-1.2545259
0.0052437186	-0.80646074
0.005268231	-0.35244215
0.0053808838	0.03694091
0.0055295974	-0.054583069
0.005517602	-0.72515863
0.0054011494	-1.1766033
0.0053729862	-1.2353773
0.0054358691	-0.48365209
0.0054503232	0.059606973
0.0055068731	0.055884011
0.005562976	-0.62295526
0.005621165	-1.0022672
0.0056613237	-1.1896913
0.0055930763	-0.79815453
0.0056825578	-0.22301275
0.0056900084	0.11268829
0.0057078153	-0.12928736
0.0057829916	-0.84712869
0.0058107078	-1.210961
0.0057527423	-1.1159637
0.0057572126	-0.45650697
0.0057837367	0.28952432
0.0058258325	-0.025125338
0.0058262795	-0.6586802
0.005870983	-1.0472296
0.0059244037	-1.1918653
0.0059980899	-0.67086369
0.0060161948	-0.11669064
0.0060062855	0.16984238
0.0060512125	-0.3019889
0.0060818344	-0.9075284
0.0060297549	-1.3261137
0.0060854852	-0.89541072
0.0060749054	-0.35210863
0.0061309338	0.16209204
0.0061698258	-0.092902921
0.0062326342	-0.80724305
0.0061905384	-1.0717374
0.0062011182	-1.0458689
0.0062318891	-0.53029853
0.00630036	-0.1290848
0.0063212216	-0.0049796654
0.0064183027	-0.23346162
0.0064451247	-1.023981
0.0064401329	-1.1955422
0.0064260513	-0.76170433
0.0063887239	-0.16846636
0.0063954294	0.20166859
0.0064518303	-0.18801132
0.0065230578	-0.90590793
0.0065851212	-1.1781702
