MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	10.007813	Sec	7/8/2019 2:41:09 PM
Station 1 Displacement	Station 1 Force
in	lbf
-0.00017229468	-1.1476548
-7.8380108e-05	-1.5931047
-8.713454e-05	-1.9379861
-0.00039476901	-1.5655469
-0.00012565404	-0.36280254
5.8934093e-05	-0.30458382
0.00034064054	-0.53869152
0.00016782433	-1.5090779
0.00026673079	-1.5965227
0.00044032931	-1.5359622
0.00027049333	-1.1709787
0.00031035393	-0.74652141
0.00025458634	-0.77770674
0.00020582229	-1.2753659
0.00024516135	-1.5727023
0.00018171966	-1.8386402
0.00024229288	-1.2423756
0.00018838793	-0.72714001
0.00021640211	-0.51644218
0.0002932176	-0.65081173
0.00031333417	-1.4151284
0.00033516437	-1.7121574
0.00028315932	-1.4828862
0.00046893954	-0.82982296
0.00045537949	-0.54439294
0.00023391098	-0.90291321
0.00014483929	-1.3598043
0.00041827559	-1.6295695
0.00046893954	-1.680872
0.00062834471	-0.68029857
0.00084023923	-0.2658658
0.00073473901	-0.71046698
0.00075045973	-0.98710763
0.00070892274	-1.5155592
0.00073038042	-1.8029333
0.00069189817	-1.4163774
0.00059884042	-1.028254
0.00062730163	-0.40544662
0.00064503402	-0.70403969
0.00068284571	-1.4290498
0.00067993999	-1.6646174
0.00086568296	-1.4823629
0.00092085451	-1.125111
0.00082679093	-0.7471506
0.00072199851	-0.7172901
0.00081721693	-0.93220621
0.00092957169	-1.4890898
0.00091668218	-1.8033315
0.0010313466	-1.1355028
0.00098146498	-0.87504739
0.00095728785	-0.49326801
0.0011404231	-0.37524965
0.001032427	-1.437214
0.0010208786	-1.619351
0.00099003315	-1.4260662
0.0011194497	-0.69404715
0.0012214109	-0.41298625
0.0011166185	-0.80980182
0.001357235	-0.84183007
0.0012688339	-1.6373401
0.0012601167	-1.6688893
0.0012133643	-1.1489977
0.0010145456	-0.79418939
0.0011078641	-0.39000472
0.0013989583	-0.1648895
0.0015550852	-1.1116982
0.0015776977	-1.6498572
0.0015396625	-1.5216442
0.0015269965	-0.34299853
0.0015801191	-0.47906303
0.0015861169	-0.55633831
0.0017788634	-0.67813146
0.0017976761	-1.4109695
0.0020329282	-1.0778737
0.0019127131	-1.1393515
0.0017076358	-0.83663327
0.0017065555	-0.54626197
0.001770556	-0.91445112
0.0018735975	-1.3431832
0.0018471852	-1.6458815
0.0017187744	-1.2257503
0.0017639622	-0.5785923
0.0017252937	-0.72826219
0.001774244	-0.53082246
0.0020648539	-0.86068815
0.0019291043	-1.6861764
0.0019966438	-1.2670823
0.0021210313	-0.51493871
0.0018449128	-0.71952879
0.0019929186	-0.23830158
0.0019166619	-1.1593884
0.0019665062	-1.810668
0.001931116	-1.5770055
0.0019379705	-1.1739217
0.0018309802	-0.69366181
0.0019114465	-0.36151612
0.002136305	-0.66862035
0.0024389848	-0.63931626
0.0023004413	-1.7821871
0.0020587072	-1.4931039
