MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	10.008789	Sec	7/8/2019 2:01:21 PM
Station 1 Displacement	Station 1 Force
in	lbf
0.00010944903	-1.081333
0.00015065074	-0.38896105
-5.4687262e-05	-0.061067399
-0.00024646521	-0.31282192
-0.00034965575	-0.87722027
-6.2510371e-05	-1.2682843
0.00028856099	-1.1949643
0.00018745661	-0.65323025
0.00021964312	-0.22968684
7.9721212e-06	-0.14199992
1.5050173e-05	-0.56989026
0.00020422041	-1.1685904
0.00039197505	-1.2064388
0.00034667552	-0.95476568
0.00012256205	-0.3226957
0.00019624829	0.0096706208
0.0002669543	-0.43367615
0.00048279762	-0.99506754
0.00053279102	-1.2767926
0.00030957162	-0.99760592
6.4820051e-05	-0.51991373
5.2303076e-05	-0.14526245
0.00021867454	-0.18083024
0.00032059848	-0.61340398
0.00041253865	-1.2306753
0.00046223402	-1.2338475
0.00053271651	-0.75395739
0.00050745904	-0.16609848
0.00043839216	-0.085068747
0.00045403838	-0.60739052
0.00062413514	-1.1618663
0.00070422888	-1.2222229
0.00083275139	-0.99497384
0.00058874488	-0.33238497
0.00093944371	-0.19860977
0.0012803078	-0.26625055
0.0010045618	-0.77121949
0.00089146197	-1.3400887
0.00069610775	-1.1806649
0.00065609813	-0.58857256
0.0007057935	-0.097723678
0.00080384314	-0.10781281
0.00073090196	-0.70714158
0.00095315278	-1.0886154
0.00097073615	-1.2399478
0.0011670589	-0.89727402
0.0010762364	-0.22309482
0.0011023134	-0.018403517
0.0010181963	-0.34874189
0.0010862947	-0.90095162
0.0010637194	-1.4383271
0.0012774765	-1.1888676
0.0010062009	-0.55599725
0.0010854751	-0.076259598
0.0012060255	-0.23679809
0.0012478977	-0.83623803
0.001206249	-1.2410967
0.0012157112	-1.2163701
0.001218915	-0.80061901
0.001231581	-0.26784545
0.0015722215	-0.076480791
0.0015056878	-0.45687079
0.0013127178	-1.0348548
0.0014003366	-1.4490937
0.0012747943	-0.98832875
0.0013905764	-0.3928045
0.0015121698	-0.039087027
0.0012482703	-0.28536248
0.001411587	-0.86055255
0.0014197081	-1.2589066
0.0013694912	-1.0499201
0.0014633685	-0.69865841
0.0016398728	-0.17349258
0.0016341358	-0.096814476
0.0016207993	-0.54346102
0.0018122792	-1.1906226
0.0019132346	-1.350597
0.0019297749	-0.93169039
0.0021039695	-0.23661879
0.0021791458	-0.18410967
0.0018871576	-0.38231838
0.0018839538	-0.98646623
0.0017938763	-1.2029301
0.0018782914	-1.0476005
0.0019679219	-0.57483149
0.0020028651	-0.088401139
0.0020059198	-0.031579405
0.0019688159	-0.7752341
0.001906082	-1.1715747
0.0020711869	-1.3854187
0.0019323081	-0.72442579
0.0021095574	-0.12710749
0.0021796674	-0.14377175
0.0022666901	-0.47082025
0.0022083521	-1.0561908
0.0020037591	-1.2492301
0.0020423532	-0.97556394
0.0021544844	-0.4694896
0.0022213161	-0.049046356
0.00247702	-0.28859651
0.0026717037	-0.90845102
0.002758652	-1.2789236
0.0026089698	-1.1753715
0.0023964792	-0.54198837
